Var1,Var2
0,0
10,0.0283745245578009
20,0.0529923023214234
30,0
40,0
50,0
60,0
70,0
80,0.0945417247817808
90,0
100,0.132517246775314
110,0
120,0.116161911651912
130,0.094235561185194
140,0.083087175951602
150,0
160,0.0161362377562896
170,0
180,0
190,0.000778287034829149
200,0
210,0.0376591013141818
220,0.0378617050161506
230,0
240,0.130024266094321
250,0
260,0.0504667100355601
270,0.132374746527643
280,0.105864066481985
290,0
300,0.0167744251844235
310,0.0582121232003951
320,0.0483360876423051
330,0
340,0.1091478284313
350,0.101633535643793
360,0.251315269152568
370,0.139555602908115
380,0.203874376217425
390,0.125290537732385
400,0
410,0.0010301361608244
420,0.0782356329016729
430,0.115020000661809
440,0.221041562130056
450,0.0849674642239214
460,0.110531042641823
470,0.203982013185143
480,0.127164750633476
490,0.0654852282578405
500,0.137862779468086
510,0.130159332234209
520,0.27220200025268
530,0.230154900911341
540,0.267405028342612
550,0.171661782837261
560,0.434104581186197
570,0.238111145896864
580,0.139955583315565
590,0.104283006510873
600,0.251181357863523
610,0.205291228797005
620,0.115370053303569
630,0.208145882874254
640,0.0968577649887595
650,0.332394577508364
660,0.462979526958888
670,0.347049426343372
680,0.245085354253292
690,0.417705045117584
700,0.31514024187212
710,0.0683934394099497
720,0.280044387236562
730,0.306549448359151
740,0.359031365767861
750,0.290469567203939
760,0.428312259348129
770,0.182104195487441
780,0.564823578666132
790,0.458037821706024
800,0.302011729463832
810,0.359318878573014
820,0.247034298201193
830,0.244966916060641
840,0.349355037588665
850,0.44395916027137
860,0.441586259085252
870,0.565717624710209
880,0.323506781031692
890,0.337267739889795
900,0.0895746141972882
910,0.335542306639683
920,0.384357213423815
930,0.376825838720107
940,0.311551160661076
950,0.250795533949053
960,0.341613314611631
970,0.605905992611032
980,0.296041447157855
990,0.392265630590903
1000,0.279248614282427
1010,0.514434313141894
1020,0.479554217151024
1030,0.419833471807628
1040,0.401894278899081
1050,0.557344565759527
1060,0.470003516201625
1070,0.414603318914136
1080,0.431314090174318
1090,0.574198438377169
1100,0.472398060554755
1110,0.452376374623052
1120,0.484886466141169
1130,0.42067170417356
1140,0.334273292311399
1150,0.472184738167955
1160,0.27558624895182
1170,0.37075801586761
1180,0.548288278670261
1190,0.375322498930521
1200,0.474043360297745
1210,0.427722744910358
1220,0.479179165526995
1230,0.495943853819289
1240,0.405608881995423
1250,0.245329144594394
1260,0.561953575429022
1270,0.40606677127645
1280,0.492328161041536
1290,0.562762267897234
1300,0.359492839792999
1310,0.595246570517832
1320,0.545613171025305
1330,0.485571809172304
1340,0.439262715688884
1350,0.597440206778018
1360,0.523249655274725
1370,0.533627318715724
1380,0.751376961438454
1390,0.539219605726312
1400,0.603048023303428
1410,0.481941381181109
1420,0.668823647024156
1430,0.480648654169723
1440,0.392194797208165
1450,0.491540432702483
1460,0.323085705331513
1470,0.62191110958716
1480,0.379172882034434
1490,0.527166039600148
1500,0.591826049790551
