names,projections,bmin,bmax,islog,p0
kMAPIA,,0.0034673685,0.34673685,1,0.0346736850000000
kPIAPA,,0.0000794328,0.01995262,1,0.000799094814162404
dPA,,0.00001,0.01,1,2.63784110609838e-05
VMAX,,0.031622777,10,1,1.11708394246046
ARA,,6.088,6.088,1,6.088
ARAN,,0.1023292992,12.58925412,1,1.20083127787926
kfGCSG1,,0.01,0.079432823,1,0.0598811524420975
kbGCSG1,,0.01,0.794328235,1,0.0111957063293802
kfGASG5,0,0.01,0.079432823,1,0.0115945661871128
kbGASG5,0,0.01,7.94328235,1,0.118028384050688
Km,,1.584893192,100,1,35.7988932242484
kMCPIC,,0.01,10,1,0.134270029420751
kPICPC,,0.1,10,1,0.960486464044592
dPC,,0.000001,0.01,1,3.99956795941798e-05
kMC,,0.1479108388,14.79108388,1,1.47910838800000
bSG1,,0.00001,0.001,1,2.01297370351280e-05
bA,,0.00001,0.001,1,0.000235141970816822
CasConcaseF,,6000,7000,1,6309.57344500000
dmRNAcaseF,,0.001,316.227766,1,29.9985376179197
kfSGCASsg1,,0.001,0.1,1,0.0161186077981554
kbSGCASsg1,,0.01,0.794328235,1,0.766887870621218
kfSGCASsg5,0,0.001,0.1,1,0.00330025130766840
kbSGCASsg5,0,0.01,0.794328235,1,0.354484216318402
kMC5,0,0.1479108388,14.79108388,1,1.47910838800000
